"variable","statistic","baseline","recycling","difference","combined_mcse","simultaneous_z","tolerance","passed"
"log_sigma_t","q50",-1.09134475669371,-1.08050148064208,0.0108432760516264,0.00648609646659397,3.5062047266172,0.0227415820884669,TRUE
"treated_logit_location","q50",4.43806242928878,4.5869624145545,0.148899985265722,0.235379685120979,3.5062047266172,0.825289364520846,TRUE
"mu_log_lambda","q95",2.32148582597013,2.38632769651625,0.0648418705461151,0.0397429462244619,3.5062047266172,0.139346905901902,TRUE
"mu_log_mu_t","q95",-3.63783162197796,-3.57595037868499,0.0618812432929721,0.0690881683357684,3.5062047266172,0.242237262372196,TRUE
"mu_log_mu_a","q95",1.31017535876458,1.32583579869214,0.0156604399275588,0.0308970563752322,3.5062047266172,0.108331405101397,TRUE
"mu_log_p","q95",7.73100017499384,7.8823151808079,0.15131500581406,0.0766658524899505,3.5062047266172,0.268806174370402,TRUE
"mu_log_alpha_l","q95",-7.67060072580067,-7.70475967642393,-0.0341589506232669,0.20970601680263,3.5062047266172,0.735272227313448,TRUE
"mu_u_pi","q95",1.23976979830281,0.646614690758347,-0.593155107544466,0.0911265687572003,3.5062047266172,0.319508406096903,FALSE
"mu_u_eta_rti","q95",4.60320375394758,4.62193730967357,0.0187335557259907,0.0451056981255512,3.5062047266172,0.158149811965176,TRUE
"mu_u_eta_pi","q95",5.62563811365478,5.62857184551309,0.00293373185830514,0.0191575958873708,3.5062047266172,0.0671704532509217,TRUE
"beta_nelf","q95",0.406319795700542,0.744888654738018,0.338568859037476,0.240023246594182,3.5062047266172,0.841570641706528,TRUE
"log_omega_lambda","q95",-0.418838769196262,-0.431613098166617,-0.0127743289703554,0.010022182260086,3.5062047266172,0.0351398228113326,TRUE
"log_omega_mu_t","q95",-0.59087944545816,-0.602715275029096,-0.0118358295709364,0.0312089724630181,3.5062047266172,0.1094250467627,TRUE
"log_omega_mu_a","q95",-0.474818931159156,-0.511232385643319,-0.0364134544841628,0.0210515381196189,3.5062047266172,0.0738110024575702,TRUE
"log_omega_p","q95",-0.228381424077253,-0.208478327129608,0.0199030969476456,0.0191669651791508,3.5062047266172,0.067203303906046,TRUE
"log_omega_alpha_l","q95",0.302298954517428,0.353061765238495,0.0507628107210669,0.0366745177121043,3.5062047266172,0.128588367348586,TRUE
"log_omega_pi","q95",-0.661488460762119,-0.648036904746965,0.0134515560151544,0.0372820238870727,3.5062047266172,0.13071840837071,TRUE
"log_omega_eta_rti","q95",-0.466987322044785,-0.4577842592197,0.00920306282508543,0.0312317597710077,3.5062047266172,0.10950494372968,TRUE
"log_omega_eta_pi","q95",-0.486402534754978,-0.499492678592614,-0.0130901438376357,0.0298795839771186,3.5062047266172,0.104763938569929,TRUE
"log_gamma_pop","q95",-5.19284454631884,-5.17413018655876,0.0187143597600805,0.121885375759945,3.5062047266172,0.427355080595035,TRUE
"log_mu_l_pop","q95",-3.06860021060571,-2.89765571807573,0.17094449252998,0.100471728532709,3.5062047266172,0.352274449472784,TRUE
"log_sigma_v","q95",-0.427416084846875,-0.470244151092892,-0.0428280662460165,0.0139407223588657,3.5062047266172,0.0488790266271131,TRUE
"log_sigma_t","q95",-0.864081417484659,-0.853105057743948,0.010976359740711,0.0108814858618707,3.5062047266172,0.0381527171615093,TRUE
"treated_logit_location","q95",5.77878828253849,6.11826971216381,0.339481429625319,0.275361373743573,3.5062047266172,0.965473350147523,TRUE
